"s01" "s02" "s03" "o04" "s05" "s06" "o07" "o08" "s09" "o10" "s11" "o12" "s13" "s14" "o15" "o16" "o17" "s18" "o19" "s20" "o21" "o22" "s23" "s24" "o25" "o26" "s27" "o28" "s29" "o30"
"M458" 4 2 1 2 2 4 2 3 2 4 1 2 2 5 5 4 2 2 3 3 3 3 1 2 3 1 4 2 1 1
"M682" 3 4 2 4 3 2 2 3 4 4 3 4 5 2 4 4 2 3 4 1 4 2 2 3 3 1 4 3 4 2
"L102" 1 1 2 4 1 4 3 2 1 1 5 3 1 1 5 3 1 1 5 3 4 4 1 2 1 1 1 5 1 5
"L805" 3 3 5 5 3 4 1 1 1 4 5 1 4 3 1 1 2 5 1 3 5 1 5 4 1 2 5 1 5 3
"M323" 1 1 1 3 1 1 5 5 2 4 1 4 4 3 4 5 5 3 3 1 3 3 1 1 4 3 4 5 1 4
"L783" 5 4 3 2 4 3 1 1 4 2 1 2 4 4 2 4 2 3 2 1 5 2 1 2 2 1 5 3 3 2
"L879" 1 2 2 1 1 3 1 1 1 4 1 2 2 4 5 3 2 2 4 1 3 2 2 2 1 5 3 1 3 5
"L284" 4 3 3 3 3 4 1 1 2 2 4 1 1 2 2 3 4 3 1 3 3 1 3 4 1 1 1 1 4 1
"L217" 1 5 4 1 3 5 1 1 1 1 5 1 1 3 2 1 3 2 1 5 4 1 4 5 1 1 1 1 1 3
"M30" 1 5 3 2 4 4 1 2 4 4 3 3 4 4 1 4 2 1 3 2 2 3 4 4 3 4 3 3 1 4
"M331" 5 5 4 4 2 4 5 4 4 5 3 4 5 5 3 2 4 4 2 5 1 1 3 4 3 1 4 2 4 2
"M269" 4 4 4 4 4 1 3 2 5 4 2 4 4 5 2 5 4 4 5 3 4 4 3 2 5 5 4 4 4 3
"L335" 3 2 4 1 3 3 2 1 2 1 2 1 2 1 4 1 2 4 1 3 2 1 3 3 2 1 5 1 2 1
"M702" 4 5 2 2 5 4 1 1 4 4 4 3 3 4 2 2 1 2 1 3 4 1 2 4 1 1 5 2 2 1
"L506" 1 1 3 2 3 2 1 1 1 4 4 2 1 3 5 4 2 1 5 1 5 4 3 1 2 4 1 2 3 1
"M938" 1 4 5 3 3 4 1 2 1 2 3 2 1 3 2 1 2 2 1 3 4 2 4 3 3 1 1 1 1 1
"L396" 5 5 5 2 5 5 3 1 3 3 1 2 4 3 1 4 2 3 1 5 2 1 5 4 1 1 4 1 3 5
"L967" 3 5 5 3 3 4 1 1 2 1 5 1 1 1 1 1 1 1 1 5 4 1 1 3 1 1 2 1 1 4
"M692" 4 5 5 4 3 3 4 1 4 4 1 2 1 3 1 4 4 3 1 5 3 2 2 2 4 1 4 3 1 2
"L518" 1 4 4 2 3 5 3 1 1 1 4 1 2 2 2 1 1 1 1 4 2 1 2 4 2 1 3 1 1 1
"L845" 4 1 2 4 3 4 2 2 3 2 1 3 1 4 5 4 2 3 5 3 5 5 1 2 4 1 4 4 2 4
"M342" 5 2 1 5 2 1 3 1 4 2 1 5 3 3 4 5 4 4 2 2 5 2 2 1 4 2 5 4 2 5
"L255" 3 1 5 2 2 3 1 1 1 1 3 1 1 2 4 1 1 1 1 2 3 1 2 2 1 1 5 1 2 1
"M161" 4 5 5 4 3 1 5 1 5 4 1 4 4 4 1 4 4 3 4 4 4 4 2 1 4 4 5 4 3 3
"M455" 5 4 1 3 3 1 5 1 4 4 4 4 4 3 3 5 5 3 5 4 4 4 4 2 4 5 4 2 3 4
"L987" 3 4 4 1 4 2 1 1 1 1 1 2 1 3 3 3 1 1 1 4 2 1 1 4 2 2 5 1 2 1
"H28" 2 1 1 5 1 1 5 4 3 5 2 5 3 1 5 5 5 2 4 1 5 1 1 1 5 5 4 5 1 5
"M693" 4 5 4 5 3 3 2 2 4 5 3 5 5 3 3 4 2 4 2 2 3 4 5 4 4 2 5 2 2 1
"L702" 1 3 1 1 2 1 1 1 1 1 5 1 1 1 4 2 1 1 2 2 2 1 1 2 1 1 4 1 1 3
"M605" 2 5 2 2 2 4 1 1 1 4 4 1 4 3 1 1 1 2 2 4 3 2 4 4 3 2 2 1 1 1
"M898" 1 1 4 2 3 2 2 1 2 1 4 2 2 3 3 4 4 3 1 3 3 1 2 3 2 1 4 2 2 2
"L141" 1 1 1 2 2 3 5 1 2 4 1 3 3 4 4 3 2 1 1 5 5 5 2 2 2 2 1 4 1 5
"M921" 1 1 2 2 4 2 1 1 1 1 2 1 2 3 3 1 1 1 1 3 2 2 2 1 1 1 4 1 1 1
